symbol,exchange,currency,category,description,target_price,drop_pct_threshold,quantity
AAPL,NASDAQ,USD,HOLDING,Apple Inc,,,10
NVDA,NASDAQ,USD,HOLDING,NVIDIA Corp,,,5
MSFT,NASDAQ,USD,HOLDING,Microsoft Corp,,,8
TSLA,NASDAQ,USD,HOLDING,Tesla Inc,,,4
GOOG,NASDAQ,USD,HOLDING,Alphabet Inc,,,6
AMZN,NASDAQ,USD,HOLDING,Amazon.com Inc,,,3
META,NASDAQ,USD,HOLDING,Meta Platforms Inc,,,5
9988.HK,SEHK,HKD,HOLDING,Alibaba Group,,,200
TXT.WA,WSE,PLN,WATCHLIST,Polish small-cap example,,7,
BHP.AX,ASX,AUD,WATCHLIST,BHP Group,40,5,
